topic,text
attendance,"Regular attendance is expected of all employees. Employees should notify their supervisor as soon as possible if they will be late or absent. Excessive absenteeism or tardiness may result in disciplinary action."
annual_leave,"Full-time employees are eligible for 20 days of paid annual leave per year, accrued monthly. Unused leave can be carried over to the next year up to a maximum of 5 days. Leave requests should be submitted at least two weeks in advance for approval."
sick_leave,"Employees are entitled to 10 days of paid sick leave per year. A doctor's note may be required for absences exceeding 3 consecutive days. Sick leave cannot be carried over to the next year."
parental_leave,"Eligible employees may take up to 12 weeks of parental leave following the birth or adoption of a child. The first 6 weeks are paid at 100% of regular salary, while the remaining 6 weeks are paid at 60%. Employees must notify HR at least 30 days before the expected leave date."
remote_work,"The company offers flexible work arrangements including the option to work remotely up to 2 days per week. Remote work must be approved by the employee's manager. Employees working remotely must be available during core business hours and maintain productivity standards."
overtime,"Non-exempt employees who work more than 40 hours in a workweek will receive overtime pay at 1.5 times their regular rate. All overtime must be approved in advance by a supervisor. Exempt employees are not eligible for overtime pay."
dress_code,"Employees are expected to maintain a business casual dress code. Clean, professional attire is required on days with client meetings. Clothing with offensive messages or revealing attire is prohibited."
confidentiality,"All employees must maintain confidentiality regarding company information, customer data, and proprietary processes. Unauthorized disclosure of confidential information may result in immediate termination. Employees must sign a confidentiality agreement upon hire."
equal_opportunity,"The company is committed to providing equal employment opportunities without regard to race, color, religion, sex, national origin, age, disability, or genetic information. Discrimination or harassment based on these factors is strictly prohibited and will result in disciplinary action."
harassment,"The company maintains a zero-tolerance policy for any form of harassment, including sexual harassment and bullying. All incidents should be immediately reported to HR. All reports will be investigated promptly and confidentially."
performance_review,"Performance reviews are conducted annually with mid-year check-ins. Employees will be evaluated on job performance, goal achievement, and demonstration of company values. Performance reviews may impact compensation adjustments and promotion opportunities."
resignation,"Employees who resign from their position are requested to provide at least two weeks notice. All company property must be returned on the last day of employment. An exit interview will be conducted with the departing employee."
bereavement_leave,"Employees are eligible for up to 5 days of paid bereavement leave following the death of an immediate family member. For extended family members, 2 days of paid leave may be granted. Documentation may be requested to support bereavement leave requests."
jury_duty,"Employees will receive full pay for up to 10 days when summoned for jury duty. A copy of the jury duty summons must be provided to HR as soon as possible. Any compensation received from the court should be submitted to the company."
health_insurance,"The company offers comprehensive health insurance coverage for all full-time employees. Coverage begins on the first day of the month following 30 days of employment. Employees may add dependents to their plan at an additional cost."
retirement_plan,"The company offers a 401(k) retirement plan with a 4% employer match. Employees become eligible to participate after 90 days of employment. Enrollment is automatic, but employees may opt-out or adjust their contribution percentage."
tuition_reimbursement,"The company offers tuition reimbursement for approved courses related to the employee's current position or potential future roles within the company. Reimbursement is limited to $5,000 per calendar year and requires a grade of B or better."
employee_referral,"Employees who refer a candidate who is successfully hired and completes 90 days of employment will receive a $1,000 referral bonus. The referring employee must be employed at the time the bonus is paid. Executive and HR positions are excluded from this program."
relocation,"Employees who are required to relocate more than 50 miles for a company position may be eligible for relocation assistance. Benefits include moving expense reimbursement up to $5,000 and temporary housing for up to 30 days."
salary_review,"Salary reviews are conducted annually based on performance, market conditions, and company financial performance. Merit increases typically range from 1-5% based on individual performance ratings. All salary changes must be approved by department heads."
grievance_procedure,"Employees who have a work-related concern should first discuss it with their immediate supervisor. If the issue is not resolved, employees may escalate to the next level of management or HR. All grievances will be handled confidentially and without retaliation."
probation_period,"All new employees undergo a 90-day probationary period to evaluate job fit and performance. During this period, employees may be terminated without advance notice. Benefits eligibility begins after successful completion of the probationary period."
business_travel,"Employees traveling for business purposes will be reimbursed for reasonable expenses including transportation, lodging, and meals. All travel must be approved in advance, and receipts must be submitted with expense reports within 15 days of return."
disciplinary_action,"The company follows a progressive disciplinary process including verbal warning, written warning, suspension, and termination. Serious misconduct may result in immediate termination. All disciplinary actions are documented in the employee's personnel file."
conflict_of_interest,"Employees must avoid situations where personal interests conflict with company interests. Outside employment, financial investments, or relationships that could create a conflict must be disclosed to management. Failure to disclose conflicts may result in disciplinary action."
company_property,"Employees are responsible for the proper use and care of company property including equipment, vehicles, and facilities. Personal use of company property is prohibited without prior approval. Lost or damaged property due to negligence may result in financial responsibility."
training,"All employees are required to complete mandatory training programs, including safety, compliance, and professional development courses. New employees must complete orientation training within 30 days of hire. Additional training opportunities may be provided based on career development plans."
employee_assistance,"The company offers an Employee Assistance Program (EAP) providing confidential counseling and support services for personal or work-related issues. Employees and their household members can access up to 6 free counseling sessions per issue annually."
internet_usage,"Company internet and email systems are primarily for business use. Limited personal use is permitted during breaks if it does not interfere with work duties. Accessing inappropriate content or excessive personal use may result in disciplinary action."
